yr,mo,avg_price,min_price,max_price
2025,3,88167.95697712048,85789.11520955357,91034.06793742238
2025,4,93435.58883568847,86025.03741573395,98697.85888465331
2025,5,95263.30239493848,92223.54048297416,98553.63236735514
2025,6,98091.37850402124,95575.36765484317,100199.2949045955
2025,7,98051.51265690826,96728.13135164657,101027.03354510295
2025,8,100571.444985157,98573.53065102825,103693.57550073633
2025,9,110768.37515710176,106448.889845,116108.48163372341
2025,10,121806.8483760541,116047.09179055862,130052.86823199631
2025,11,123528.08504351866,119365.5209481583,128469.64722658593
2025,12,132239.11248884487,127857.92504686075,139079.0670902567
2026,1,146378.65693411714,132274.3433562757,166823.79150949494
2026,2,154952.09787244876,144437.9345103733,162224.52807065187
2026,3,153485.99512186798,139797.57966269457,164336.6568667076
2026,4,150476.2520133183,146605.27293480228,156125.64817021377
2026,5,149410.0064109773,145362.97554782525,153105.11313942884
2026,6,137240.0433587358,129348.1948321835,146683.75613205813
2026,7,144372.97485751816,140873.5720167964,147714.39321565867
2026,8,155570.05064852478,142282.19373961954,164208.15500395713
2026,9,155690.56734458986,152905.95487181013,157092.10576311292
