date,gold_inr_per_10g_landed,moving_avg_7d,moving_avg_30d,year_on_year_pct_change,day_30_rolling_volatility
2021-03-19,45058.94406159849,44675.33522011553,45611.02368076046,17.46,0.9681031316154902
2021-03-22,44802.55985132675,44706.05183209692,45536.581915365656,15.94,0.9320528600546955
2021-03-23,44449.77917246623,44702.58706407888,45435.69768707405,14.59,0.9152480219034169
2021-03-24,44804.079931609835,44711.1348279225,45340.52546026955,16.05,0.9275699075470487
2021-03-25,44617.754819047266,44701.54257717942,45236.19331557353,17.21,0.9254100129181863
2021-03-26,44786.351307085744,44730.02528832214,45152.0880018274,17.05,0.9220283211835492
2021-03-29,44165.70639737798,44669.31079150311,45052.260603486495,15.66,0.9478616853128814
2021-03-30,43614.95235292392,44463.02626169367,44956.64189364712,12.93,0.9400771530259707
2021-03-31,44818.63409358695,44465.32258201497,44917.41946021318,15.94,1.070640815786842
2021-04-01,45002.11186143853,44544.227251868164,44885.220155288276,17.06,1.0743788712105091
2021-04-05,45121.2206952107,44589.53307523898,44858.96216099064,18.48,1.0759769189591906
2021-04-06,45440.22427610303,44707.02871195972,44817.83319687049,19.24,1.0366645645283727
2021-04-07,45534.11590771962,44813.85222633609,44784.14889933566,18.88,1.037319167696575
2021-04-08,46541.29691224347,45153.2222998866,44792.34455447346,21.4,1.113129975398275
2021-04-09,46272.42227647729,45532.86086039458,44809.99217688988,19.84,1.0954581740502864
2021-04-12,46065.28682488237,45710.95410772307,44845.12000894696,20.68,1.055327874027643
2021-04-13,46627.010787396044,45943.082525717364,44894.73630725692,22.56,1.0751283332986186
2021-04-14,46442.96430728718,46131.9030417289,44934.85187967271,21.31,1.0788697069537765
2021-04-15,47161.75673153154,46377.83624964739,45015.06462101489,21.53,1.0873713597124817
2021-04-16,47335.863426853975,46635.22875238104,45122.221128983794,22.28,1.0449608600532656
2021-04-19,46976.97538262987,46697.468533865045,45214.257180910805,22.15,1.0607479019264323
2021-04-20,47386.0602884445,46856.55967843107,45337.5179249237,24.61,1.0333390998267804
2021-04-21,48150.394423371836,47154.43219250015,45448.48491054028,26.01,0.9711391816492374
2021-04-22,47839.69012173583,47327.67209740622,45556.15195631832,27.23,0.9760367777596414
2021-04-23,47513.14999317018,47480.55576681665,45653.672170508406,25.94,0.9892174466932174
2021-04-26,47430.320611834155,47518.92203543229,45752.215105949836,26.22,0.9880066618269026
2021-04-27,47364.65173676823,47523.034651134694,45839.56197768499,26.0,0.9872889089686042
2021-04-28,47085.309337887,47538.51093045728,45919.5756031394,24.07,0.9960024425052899
